year,month,sex,age_group,deaths,expected,excess,pct_change,age_band
2017,August,Male,30 to 44,570,524,46,8.9,Young Adults
2017,August,Male,45 to 49,424,401,23,5.7,Middle Aged
2017,August,Male,50 to 54,603,613,-10,-1.7,Middle Aged
2017,August,Male,55 to 59,833,874,-41,-4.7,Middle Aged
2017,August,Male,60 to 64,1174,1186,-12,-1,Middle Aged
2017,August,Male,65 to 69,1676,1731,-55,-3.2,Older Adults
2017,August,Male,70 to 74,2451,2407,44,1.8,Older Adults
2017,August,Male,75 to 79,2829,2800,29,1,Seniors
2017,August,Male,80 to 84,3401,3376,25,0.7,Seniors
2017,August,Male,85 to 89,3295,3335,-40,-1.2,Elderly
2017,August,Male,90 and over,2903,2781,122,4.4,Elderly
2017,August,Female,All ages,20548,20557,-9,0,All Ages
2017,August,Female,0 to 29,218,233,-15,-6.4,Infants & Toddlers
2017,August,Female,30 to 44,336,350,-14,-4.1,Young Adults
2017,August,Female,45 to 49,264,268,-4,-1.6,Middle Aged
2017,August,Female,50 to 54,418,411,7,1.7,Middle Aged
2017,August,Female,55 to 59,547,582,-35,-6,Middle Aged
2017,August,Female,60 to 64,756,800,-44,-5.5,Middle Aged
2017,August,Female,65 to 69,1172,1198,-26,-2.2,Older Adults
2017,August,Female,70 to 74,1711,1736,-25,-1.4,Older Adults
2017,August,Female,75 to 79,2222,2243,-21,-0.9,Seniors
2017,August,Female,80 to 84,3223,3181,42,1.3,Seniors
2017,August,Female,85 to 89,4052,4042,10,0.3,Elderly
2017,August,Female,90 and over,5629,5513,116,2.1,Elderly
2017,September,Both Sexes,All ages,40095,39710,385,1,All Ages
2017,September,Both Sexes,0 to 29,580,596,-16,-2.6,Infants & Toddlers
2017,September,Both Sexes,30 to 44,859,841,18,2.1,Young Adults
2017,September,Both Sexes,45 to 49,610,644,-34,-5.2,Middle Aged
2017,September,Both Sexes,50 to 54,1020,987,33,3.3,Middle Aged
2017,September,Both Sexes,55 to 59,1440,1402,38,2.7,Middle Aged
2017,September,Both Sexes,60 to 64,1872,1916,-44,-2.3,Middle Aged
2017,September,Both Sexes,65 to 69,2867,2811,56,2,Older Adults
2017,September,Both Sexes,70 to 74,4042,4006,36,0.9,Older Adults
2017,September,Both Sexes,75 to 79,4846,4818,28,0.6,Seniors
2017,September,Both Sexes,80 to 84,6261,6380,-119,-1.9,Seniors
2017,September,Both Sexes,85 to 89,7398,7169,229,3.2,Elderly
2017,September,Both Sexes,90 and over,8300,8142,158,1.9,Elderly
2017,September,Male,All ages,20092,19761,331,1.7,All Ages
2017,September,Male,0 to 29,367,372,-5,-1.3,Infants & Toddlers
2017,September,Male,30 to 44,578,504,74,14.7,Young Adults
2017,September,Male,45 to 49,361,386,-25,-6.4,Middle Aged
2017,September,Male,50 to 54,583,591,-8,-1.4,Middle Aged
2017,September,Male,55 to 59,868,842,26,3.1,Middle Aged
2017,September,Male,60 to 64,1093,1144,-51,-4.5,Middle Aged
2017,September,Male,65 to 69,1708,1661,47,2.8,Older Adults
2017,September,Male,70 to 74,2316,2327,-11,-0.5,Older Adults
2017,September,Male,75 to 79,2700,2675,25,0.9,Seniors
2017,September,Male,80 to 84,3313,3285,28,0.8,Seniors
2017,September,Male,85 to 89,3402,3243,159,4.9,Elderly
2017,September,Male,90 and over,2803,2732,71,2.6,Elderly
2017,September,Female,All ages,20003,19949,54,0.3,All Ages
2017,September,Female,0 to 29,213,224,-11,-4.8,Infants & Toddlers
2017,September,Female,30 to 44,281,337,-56,-16.7,Young Adults
2017,September,Female,45 to 49,249,258,-9,-3.4,Middle Aged
2017,September,Female,50 to 54,437,396,41,10.4,Middle Aged
2017,September,Female,55 to 59,572,560,12,2.1,Middle Aged
2017,September,Female,60 to 64,779,772,7,1,Middle Aged
2017,September,Female,65 to 69,1159,1150,9,0.8,Older Adults
2017,September,Female,70 to 74,1726,1679,47,2.8,Older Adults
2017,September,Female,75 to 79,2146,2143,3,0.1,Seniors
2017,September,Female,80 to 84,2948,3095,-147,-4.7,Seniors
2017,September,Female,85 to 89,3996,3926,70,1.8,Elderly
2017,September,Female,90 and over,5497,5410,87,1.6,Elderly
2017,October,Both Sexes,All ages,43597,43071,526,1.2,All Ages
2017,October,Both Sexes,0 to 29,636,642,-6,-1,Infants & Toddlers
2017,October,Both Sexes,30 to 44,896,886,10,1.1,Young Adults
2017,October,Both Sexes,45 to 49,669,678,-9,-1.3,Middle Aged
2017,October,Both Sexes,50 to 54,1059,1041,18,1.8,Middle Aged
2017,October,Both Sexes,55 to 59,1470,1481,-11,-0.7,Middle Aged
2017,October,Both Sexes,60 to 64,1991,2021,-30,-1.5,Middle Aged
2017,October,Both Sexes,65 to 69,2933,2956,-23,-0.8,Older Adults
2017,October,Both Sexes,70 to 74,4488,4262,226,5.3,Older Adults
2017,October,Both Sexes,75 to 79,5285,5195,90,1.7,Seniors
2017,October,Both Sexes,80 to 84,7045,6991,54,0.8,Seniors
2017,October,Both Sexes,85 to 89,8051,7877,174,2.2,Elderly
2017,October,Both Sexes,90 and over,9074,9041,33,0.4,Elderly
2017,October,Male,All ages,21618,21369,249,1.2,All Ages
2017,October,Male,0 to 29,408,401,7,1.8,Infants & Toddlers
2017,October,Male,30 to 44,550,530,20,3.7,Young Adults
