year,sex,age,marital_status,deaths,age_band
2024,Both Sexes,31,Married,52,NA
2024,Both Sexes,31,Widowed,2,NA
2024,Both Sexes,31,Divorced,7,NA
2024,Both Sexes,31,Civil partnership,0,NA
2024,Both Sexes,31,Civil partnership widowed,0,NA
2024,Both Sexes,31,Civil partnership dissolved,0,NA
2024,Both Sexes,31,Marital status not stated,39,NA
2024,Both Sexes,32,All marital statuses,512,NA
2024,Both Sexes,32,Single,357,NA
2024,Both Sexes,32,Married,92,NA
2024,Both Sexes,32,Widowed,0,NA
2024,Both Sexes,32,Divorced,16,NA
2024,Both Sexes,32,Civil partnership,2,NA
2024,Both Sexes,32,Civil partnership widowed,0,NA
2024,Both Sexes,32,Civil partnership dissolved,0,NA
2024,Both Sexes,32,Marital status not stated,45,NA
2024,Both Sexes,33,All marital statuses,579,NA
2024,Both Sexes,33,Single,433,NA
2024,Both Sexes,33,Married,100,NA
2024,Both Sexes,33,Widowed,0,NA
2024,Both Sexes,33,Divorced,15,NA
2024,Both Sexes,33,Civil partnership,0,NA
2024,Both Sexes,33,Civil partnership widowed,0,NA
2024,Both Sexes,33,Civil partnership dissolved,0,NA
2024,Both Sexes,33,Marital status not stated,31,NA
2024,Both Sexes,34,All marital statuses,643,NA
2024,Both Sexes,34,Single,451,NA
2024,Both Sexes,34,Married,128,NA
2024,Both Sexes,34,Widowed,0,NA
2024,Both Sexes,34,Divorced,16,NA
2024,Both Sexes,34,Civil partnership,1,NA
2024,Both Sexes,34,Civil partnership widowed,0,NA
2024,Both Sexes,34,Civil partnership dissolved,0,NA
2024,Both Sexes,34,Marital status not stated,47,NA
2024,Both Sexes,35,All marital statuses,729,NA
2024,Both Sexes,35,Single,485,NA
2024,Both Sexes,35,Married,175,NA
2024,Both Sexes,35,Widowed,1,NA
2024,Both Sexes,35,Divorced,27,NA
2024,Both Sexes,35,Civil partnership,1,NA
2024,Both Sexes,35,Civil partnership widowed,0,NA
2024,Both Sexes,35,Civil partnership dissolved,1,NA
2024,Both Sexes,35,Marital status not stated,39,NA
2024,Both Sexes,36,All marital statuses,788,NA
2024,Both Sexes,36,Single,492,NA
2024,Both Sexes,36,Married,213,NA
2024,Both Sexes,36,Widowed,3,NA
2024,Both Sexes,36,Divorced,33,NA
2024,Both Sexes,36,Civil partnership,2,NA
2024,Both Sexes,36,Civil partnership widowed,0,NA
2024,Both Sexes,36,Civil partnership dissolved,0,NA
2024,Both Sexes,36,Marital status not stated,45,NA
2024,Both Sexes,37,All marital statuses,797,NA
2024,Both Sexes,37,Single,519,NA
2024,Both Sexes,37,Married,196,NA
2024,Both Sexes,37,Widowed,0,NA
2024,Both Sexes,37,Divorced,29,NA
2024,Both Sexes,37,Civil partnership,4,NA
2024,Both Sexes,37,Civil partnership widowed,1,NA
2024,Both Sexes,37,Civil partnership dissolved,0,NA
2024,Both Sexes,37,Marital status not stated,48,NA
2024,Both Sexes,38,All marital statuses,873,NA
2024,Both Sexes,38,Single,531,NA
2024,Both Sexes,38,Married,235,NA
2024,Both Sexes,38,Widowed,5,NA
2024,Both Sexes,38,Divorced,48,NA
2024,Both Sexes,38,Civil partnership,0,NA
2024,Both Sexes,38,Civil partnership widowed,0,NA
2024,Both Sexes,38,Civil partnership dissolved,0,NA
2024,Both Sexes,38,Marital status not stated,54,NA
2024,Both Sexes,39,All marital statuses,893,NA
2024,Both Sexes,39,Single,543,NA
2024,Both Sexes,39,Married,237,NA
2024,Both Sexes,39,Widowed,9,NA
2024,Both Sexes,39,Divorced,55,NA
2024,Both Sexes,39,Civil partnership,1,NA
2024,Both Sexes,39,Civil partnership widowed,0,NA
2024,Both Sexes,39,Civil partnership dissolved,0,NA
2024,Both Sexes,39,Marital status not stated,48,NA
2024,Both Sexes,40,All marital statuses,970,NA
2024,Both Sexes,40,Single,567,NA
2024,Both Sexes,40,Married,271,NA
2024,Both Sexes,40,Widowed,3,NA
2024,Both Sexes,40,Divorced,66,NA
2024,Both Sexes,40,Civil partnership,5,NA
2024,Both Sexes,40,Civil partnership widowed,0,NA
2024,Both Sexes,40,Civil partnership dissolved,0,NA
2024,Both Sexes,40,Marital status not stated,58,NA
2024,Both Sexes,41,All marital statuses,1088,NA
2024,Both Sexes,41,Single,635,NA
2024,Both Sexes,41,Married,321,NA
2024,Both Sexes,41,Widowed,5,NA
2024,Both Sexes,41,Divorced,70,NA
2024,Both Sexes,41,Civil partnership,2,NA
2024,Both Sexes,41,Civil partnership widowed,0,NA
2024,Both Sexes,41,Civil partnership dissolved,1,NA
2024,Both Sexes,41,Marital status not stated,54,NA
2024,Both Sexes,42,All marital statuses,1123,NA
2024,Both Sexes,42,Single,624,NA
2024,Both Sexes,42,Married,342,NA
2024,Both Sexes,42,Widowed,9,NA
2024,Both Sexes,42,Divorced,97,NA
2024,Both Sexes,42,Civil partnership,1,NA
2024,Both Sexes,42,Civil partnership widowed,0,NA
2024,Both Sexes,42,Civil partnership dissolved,0,NA
2024,Both Sexes,42,Marital status not stated,50,NA
2024,Both Sexes,43,All marital statuses,1291,NA
2024,Both Sexes,43,Single,704,NA
2024,Both Sexes,43,Married,422,NA
2024,Both Sexes,43,Widowed,12,NA
2024,Both Sexes,43,Divorced,84,NA
2024,Both Sexes,43,Civil partnership,3,NA
2024,Both Sexes,43,Civil partnership widowed,0,NA
2024,Both Sexes,43,Civil partnership dissolved,0,NA
2024,Both Sexes,43,Marital status not stated,66,NA
2024,Both Sexes,44,All marital statuses,1377,NA
2024,Both Sexes,44,Single,698,NA
2024,Both Sexes,44,Married,467,NA
2024,Both Sexes,44,Widowed,10,NA
2024,Both Sexes,44,Divorced,134,NA
2024,Both Sexes,44,Civil partnership,3,NA
2024,Both Sexes,44,Civil partnership widowed,0,NA
2024,Both Sexes,44,Civil partnership dissolved,0,NA
2024,Both Sexes,44,Marital status not stated,65,NA
2024,Both Sexes,45,All marital statuses,1370,NA
2024,Both Sexes,45,Single,691,NA
2024,Both Sexes,45,Married,458,NA
2024,Both Sexes,45,Widowed,12,NA
2024,Both Sexes,45,Divorced,142,NA
2024,Both Sexes,45,Civil partnership,2,NA
2024,Both Sexes,45,Civil partnership widowed,1,NA
2024,Both Sexes,45,Civil partnership dissolved,0,NA
2024,Both Sexes,45,Marital status not stated,64,NA
2024,Both Sexes,46,All marital statuses,1446,NA
2024,Both Sexes,46,Single,723,NA
2024,Both Sexes,46,Married,468,NA
2024,Both Sexes,46,Widowed,11,NA
2024,Both Sexes,46,Divorced,166,NA
2024,Both Sexes,46,Civil partnership,5,NA
2024,Both Sexes,46,Civil partnership widowed,0,NA
2024,Both Sexes,46,Civil partnership dissolved,0,NA
2024,Both Sexes,46,Marital status not stated,73,NA
2024,Both Sexes,47,All marital statuses,1509,NA
2024,Both Sexes,47,Single,747,NA
2024,Both Sexes,47,Married,490,NA
2024,Both Sexes,47,Widowed,16,NA
2024,Both Sexes,47,Divorced,189,NA
2024,Both Sexes,47,Civil partnership,1,NA
2024,Both Sexes,47,Civil partnership widowed,1,NA
2024,Both Sexes,47,Civil partnership dissolved,0,NA
2024,Both Sexes,47,Marital status not stated,65,NA
2024,Both Sexes,48,All marital statuses,1659,NA
2024,Both Sexes,48,Single,805,NA
2024,Both Sexes,48,Married,528,NA
2024,Both Sexes,48,Widowed,15,NA
2024,Both Sexes,48,Divorced,230,NA
2024,Both Sexes,48,Civil partnership,7,NA
2024,Both Sexes,48,Civil partnership widowed,0,NA
2024,Both Sexes,48,Civil partnership dissolved,1,NA
2024,Both Sexes,48,Marital status not stated,73,NA
2024,Both Sexes,49,All marital statuses,1894,NA
2024,Both Sexes,49,Single,856,NA
2024,Both Sexes,49,Married,642,NA
2024,Both Sexes,49,Widowed,33,NA
2024,Both Sexes,49,Divorced,268,NA
2024,Both Sexes,49,Civil partnership,7,NA
2024,Both Sexes,49,Civil partnership widowed,1,NA
2024,Both Sexes,49,Civil partnership dissolved,1,NA
2024,Both Sexes,49,Marital status not stated,86,NA
2024,Both Sexes,50,All marital statuses,2150,NA
2024,Both Sexes,50,Single,949,NA
2024,Both Sexes,50,Married,767,NA
2024,Both Sexes,50,Widowed,36,NA
2024,Both Sexes,50,Divorced,315,NA
2024,Both Sexes,50,Civil partnership,5,NA
2024,Both Sexes,50,Civil partnership widowed,1,NA
2024,Both Sexes,50,Civil partnership dissolved,0,NA
2024,Both Sexes,50,Marital status not stated,77,NA
2024,Both Sexes,51,All marital statuses,2420,NA
2024,Both Sexes,51,Single,1008,NA
2024,Both Sexes,51,Married,851,NA
2024,Both Sexes,51,Widowed,45,NA
2024,Both Sexes,51,Divorced,408,NA
2024,Both Sexes,51,Civil partnership,7,NA
2024,Both Sexes,51,Civil partnership widowed,0,NA
2024,Both Sexes,51,Civil partnership dissolved,0,NA
2024,Both Sexes,51,Marital status not stated,101,NA
2024,Both Sexes,52,All marital statuses,2613,NA
2024,Both Sexes,52,Single,1086,NA
2024,Both Sexes,52,Married,952,NA
2024,Both Sexes,52,Widowed,66,NA
2024,Both Sexes,52,Divorced,408,NA
2024,Both Sexes,52,Civil partnership,5,NA
2024,Both Sexes,52,Civil partnership widowed,0,NA
2024,Both Sexes,52,Civil partnership dissolved,0,NA
2024,Both Sexes,52,Marital status not stated,96,NA
2024,Both Sexes,53,All marital statuses,2939,NA
2024,Both Sexes,53,Single,1141,NA
2024,Both Sexes,53,Married,1144,NA
2024,Both Sexes,53,Widowed,60,NA
2024,Both Sexes,53,Divorced,504,NA
2024,Both Sexes,53,Civil partnership,7,NA
2024,Both Sexes,53,Civil partnership widowed,1,NA
2024,Both Sexes,53,Civil partnership dissolved,1,NA
2024,Both Sexes,53,Marital status not stated,81,NA
2024,Both Sexes,54,All marital statuses,3053,NA
2024,Both Sexes,54,Single,1215,NA
2024,Both Sexes,54,Married,1119,NA
2024,Both Sexes,54,Widowed,76,NA
2024,Both Sexes,54,Divorced,520,NA
2024,Both Sexes,54,Civil partnership,4,NA
2024,Both Sexes,54,Civil partnership widowed,2,NA
2024,Both Sexes,54,Civil partnership dissolved,0,NA
2024,Both Sexes,54,Marital status not stated,117,NA
2024,Both Sexes,55,All marital statuses,3441,NA
2024,Both Sexes,55,Single,1250,NA
2024,Both Sexes,55,Married,1363,NA
2024,Both Sexes,55,Widowed,81,NA
2024,Both Sexes,55,Divorced,647,NA
2024,Both Sexes,55,Civil partnership,10,NA
2024,Both Sexes,55,Civil partnership widowed,1,NA
2024,Both Sexes,55,Civil partnership dissolved,0,NA
2024,Both Sexes,55,Marital status not stated,89,NA
2024,Both Sexes,56,All marital statuses,3701,NA
2024,Both Sexes,56,Single,1293,NA
2024,Both Sexes,56,Married,1443,NA
2024,Both Sexes,56,Widowed,106,NA
2024,Both Sexes,56,Divorced,722,NA
2024,Both Sexes,56,Civil partnership,6,NA
2024,Both Sexes,56,Civil partnership widowed,1,NA
2024,Both Sexes,56,Civil partnership dissolved,4,NA
2024,Both Sexes,56,Marital status not stated,126,NA
2024,Both Sexes,57,All marital statuses,4026,NA
2024,Both Sexes,57,Single,1358,NA
2024,Both Sexes,57,Married,1593,NA
2024,Both Sexes,57,Widowed,145,NA
2024,Both Sexes,57,Divorced,784,NA
2024,Both Sexes,57,Civil partnership,16,NA
2024,Both Sexes,57,Civil partnership widowed,1,NA
2024,Both Sexes,57,Civil partnership dissolved,4,NA
2024,Both Sexes,57,Marital status not stated,125,NA
2024,Both Sexes,58,All marital statuses,4335,NA
2024,Both Sexes,58,Single,1406,NA
2024,Both Sexes,58,Married,1777,NA
2024,Both Sexes,58,Widowed,150,NA
2024,Both Sexes,58,Divorced,850,NA
2024,Both Sexes,58,Civil partnership,19,NA
2024,Both Sexes,58,Civil partnership widowed,2,NA
2024,Both Sexes,58,Civil partnership dissolved,1,NA
2024,Both Sexes,58,Marital status not stated,130,NA
2024,Both Sexes,59,All marital statuses,4751,NA
2024,Both Sexes,59,Single,1484,NA
2024,Both Sexes,59,Married,1941,NA
2024,Both Sexes,59,Widowed,199,NA
2024,Both Sexes,59,Divorced,976,NA
2024,Both Sexes,59,Civil partnership,15,NA
2024,Both Sexes,59,Civil partnership widowed,2,NA
2024,Both Sexes,59,Civil partnership dissolved,1,NA
2024,Both Sexes,59,Marital status not stated,133,NA
2024,Both Sexes,60,All marital statuses,4891,NA
2024,Both Sexes,60,Single,1450,NA
2024,Both Sexes,60,Married,2070,NA
2024,Both Sexes,60,Widowed,235,NA
2024,Both Sexes,60,Divorced,1005,NA
2024,Both Sexes,60,Civil partnership,19,NA
2024,Both Sexes,60,Civil partnership widowed,1,NA
2024,Both Sexes,60,Civil partnership dissolved,1,NA
2024,Both Sexes,60,Marital status not stated,110,NA
2024,Both Sexes,61,All marital statuses,5169,NA
2024,Both Sexes,61,Single,1428,NA
2024,Both Sexes,61,Married,2205,NA
2024,Both Sexes,61,Widowed,259,NA
2024,Both Sexes,61,Divorced,1132,NA
2024,Both Sexes,61,Civil partnership,11,NA
2024,Both Sexes,61,Civil partnership widowed,3,NA
2024,Both Sexes,61,Civil partnership dissolved,3,NA
2024,Both Sexes,61,Marital status not stated,128,NA
2024,Both Sexes,62,All marital statuses,5570,NA
2024,Both Sexes,62,Single,1477,NA
2024,Both Sexes,62,Married,2396,NA
2024,Both Sexes,62,Widowed,284,NA
2024,Both Sexes,62,Divorced,1273,NA
2024,Both Sexes,62,Civil partnership,14,NA
2024,Both Sexes,62,Civil partnership widowed,4,NA
2024,Both Sexes,62,Civil partnership dissolved,1,NA
2024,Both Sexes,62,Marital status not stated,121,NA
2024,Both Sexes,63,All marital statuses,5768,NA
2024,Both Sexes,63,Single,1323,NA
2024,Both Sexes,63,Married,2624,NA
2024,Both Sexes,63,Widowed,373,NA
2024,Both Sexes,63,Divorced,1316,NA
2024,Both Sexes,63,Civil partnership,12,NA
2024,Both Sexes,63,Civil partnership widowed,2,NA
2024,Both Sexes,63,Civil partnership dissolved,0,NA
2024,Both Sexes,63,Marital status not stated,118,NA
2024,Both Sexes,64,All marital statuses,6037,NA
